Country,Player (ITTF ID),Position,Previous Position,Points,Month,Year
CHINA,HEN Meng (112019),1,2,16215,Jun,2019
CHINA,LIU Shiwen (105482),2,4,15150,Jun,2019
CHINA,DING Ning (102265),3,1,14905,Jun,2019
CHINA,ZHU Yuling (117332),4,5,14710,Jun,2019
CHINA,WANG Manyu (121411),5,3,14405,Jun,2019
JAPAN,ISHIKAWA Kasumi (110752),6,6,13608,Jun,2019
JAPAN,ITO Mima (117821),7,7,13095,Jun,2019
CHINESE TAIPEI,HENG I-Ching (110797),8,8,12555,Jun,2019
JAPAN,HIRANO Miu (117820),9,9,11760,Jun,2019
REPUBLIC OF KOREA,SUH Hyowon (108470),10,10,11120,Jun,2019
HONG KONG,DOO Hoi Kem (115543),11,11,10610,Jun,2019
SINGAPORE,FENG Tianwei (102712),12,12,10465,Jun,2019
JAPAN,SHIBATA Saki (123848),13,13,9564,Jun,2019
DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,KIM Song I (115781),14,19,9514,Jun,2019
JAPAN,SATO Hitomi (122261),15,14,9470,Jun,2019
ROMANIA,SZOCS Bernadette (111012),16,20,9370,Jun,2019
REPUBLIC OF KOREA,JEON Jihee (118994),17,16,9175,Jun,2019
CHINA,SUN Yingsha (131163),18,17,8910,Jun,2019
CHINA,HEN Xingtong (121403),19,15,8888,Jun,2019
JAPAN,KATO Miyu (117822),20,22,8679,Jun,2019
CHINA,HE Zhuojia (119730),21,18,8554,Jun,2019
AUSTRIA,POLCANOVA Sofia (107477),22,21,8553,Jun,2019
JAPAN,HASHIMOTO Honoka (133000),23,23,8119,Jun,2019
CHINESE TAIPEI,HEN Szu-Yu (114105),24,27,8045,Jun,2019
SWEDEN,EKHOLM Matilda (102472),24,28,8045,Jun,2019
GERMANY,SOLJA Petrissa (111065),26,24,7855,Jun,2019
ROMANIA,SAMARA Elizabeta (108226),27,26,7825,Jun,2019
PUERTO RICO,DIAZ Adriana (115009),28,31,7810,Jun,2019
CANADA,ZHANG Mo (110560),29,25,7715,Jun,2019
HUNGARY,POTA Georgina (107525),30,36,7620,Jun,2019
JAPAN,ANDO Minami (123847),31,29,7593,Jun,2019
NETHERLANDS,LI Jie (111772),32,33,7553,Jun,2019
THAILAND,SAWETTABUT Suthasini (111833),33,32,7503,Jun,2019
PORTUGAL,YU Fu ^ (102863),34,35,7359,Jun,2019
JAPAN,HAYATA Hina (123672),35,30,7318,Jun,2019
HONG KONG,SOO Wai Yam Minnie (115037),36,41,7014,Jun,2019
UNITED STATES OF AMERICA,WU Yue (110227),37,43,6815,Jun,2019
NETHERLANDS,EERLAND Britt (113701),38,46,6650,Jun,2019
JAPAN,NAGASAKI Miyu (124591),39,38,6609,Jun,2019
HONG KONG,LEE Ho Ching (105159),40,37,6555,Jun,2019
UKRAINE,PESOTSKA Margaryta (107321),41,48,6534,Jun,2019
